NAME,PCID,AgencyDesc,AGID,Longitude,Latitude
Sebastopol,OSM,SEBASTOPOL,C,-122.8241777,38.40207904
Sequim,SEQ,SEQUIM,W,-123.1076609,48.07963245
Shafter,OCA,SHAFTER,C,-119.1888535,35.47056105
Shell Beach,OSL,SHELL BEACH,C,-120.6704913,35.15702017
Shelter Cove,OHB,SHELTER COVE,C,-124.0725623,40.02858701
Shelton,SHL,SHELTON,W,-123.1133971,47.21379949
Simi Valley,OBV,SIMI VALLEY,C,-118.7438477,34.27269415
Skamania,OCR,SKAMANIA,W,-122.0397116,45.61767446
Smartville,OCA,SMARTSVILLE,C,-121.2977748,39.20331385
Smith River,ODN,SMITH RIVER,C,-124.145991,41.93007289
Snelling,OCA,SNELLING,C,-120.4400911,37.51891194
Solana Beach,OSD,SOLANA BEACH,C,-117.2717201,32.99182921
Solromar,OBV,SOLROMAR,C,-118.9536848,34.05006147
Solvang,OBV,SOLVANG,C,-120.1410705,34.5960222
Sonoma,OSM,SONOMA,C,-122.4577627,38.29193702
Sonora,OCA,SONORA,C,-120.3821041,37.98293789
Soquel,OCM,SOQUEL,C,-121.9573319,36.98812709
South Bend,WLB,SOUTH BEND,W,-123.8066061,46.66428359
South Gate,OLA,SOUTH GATE,C,-118.2075198,33.94441915
South San Francisco,OSF,SOUTH SAN FRANCISCO,C,-122.4078668,37.65465507
Spring Valley,OSD,SPRING VALLEY,C,-116.9715841,32.73097523
St. Helena,OCA,SAINT HELENA,C,-122.4668467,38.503179
Stanwood,ONP,STANWOOD,W,-122.3705939,48.24104736
Stella,OCR,STELLA,W,-123.1174553,46.19011554
Stewarts Point,OSM,STEWARTS POINT,C,-123.3994325,38.65190706
Stinson Beach,OSM,STINSON BEACH,C,-122.6397517,37.89849206
Stockton,OCA,STOCKTON,C,-121.2911019,37.95757996
Suisun City,OSF,SUISUN CITY,C,-121.9947578,38.24302199
Sunnyvale,OSF,SUNNYVALE,C,-122.0368359,37.36919006
Sunset Beach,OLA,SUNSET BEACH,C,-118.0687299,33.71649817
Surf,OBV,SURF,C,-120.6037654,34.68267422
Tacoma,TAC,TACOMA,W,-122.4425482,47.24453641
Taft,OCA,TAFT,C,-119.4209995,35.1370331
Tahoe City,OCA,TAHOE CITY,C,-120.138685,39.17292577
Tahoe Keys,OCA,TAHOE KEYS,C,-120.013654,38.93638876
Taholah,OWC,TAHOLAH,W,-124.2863919,47.33320361
Tecopa,OCA,TECOPA,C,-116.225598,35.84833182
Terminal Island,TRM,TERMINAL ISLAND,C,-118.2923218,33.73604118
The Dalles,OCR,THE DALLES,W,-121.1809857,45.59304938
Thermal,OCA,THERMAL,C,-116.1395252,33.64053007
Thorn,OCA,THORN,C,-117.2772919,34.47629104
Thousand Oaks,OBV,THOUSAND OAKS,C,-118.8685737,34.19977916
Tiburon,OSM,TIBURON,C,-122.4789818,37.89031105
Tokeland,WLB,TOKELAND,W,-123.9805221,46.70597361
Topanga,OLA,TOPANGA CANYON,C,-118.6020578,34.09337916
Torrance,OLA,TORRANCE,C,-118.3598998,33.82621118
Tracy,OCA,TRACY,C,-121.4363969,37.73972099
Trinidad,TRN,TRINIDAD,C,-124.1399161,41.06178195
Truckee,OCA,TRUCKEE,C,-120.1729899,39.34528875
Tulare,OCA,TULARE,C,-119.3435864,36.19654299
Turlock,OCA,TURLOCK,C,-120.8542821,37.50340197
Ukiah,OMD,UKIAH,C,-123.2076215,39.14999201
Upland,OLA,UPLAND,C,-117.6513309,34.1069101
Upper Lake,OCA,UPPER LAKE,C,-122.9114615,39.16223898
Vacaville,OSF,VACAVILLE,C,-121.9814438,38.35517198
Vallejo,OSF,VALLEJO,C,-122.2315118,38.14018101
Valley Center,OSD,VALLEY CENTER,C,-117.0128741,33.20521717
Vancouver,OCR,VANCOUVER,W,-122.6713835,45.64018353
Venice,OLA,VENICE,C,-118.4624248,33.98904616
Ventura,VEN,VENTURA,C,-119.2670366,34.27154218
Vernon,OLA,VERNON,C,-118.2196358,34.00200515
Verona,OCA,VERONA,C,-121.6184808,38.78612991
Victorville,OCA,VICTORVILLE,C,-117.3301239,34.50696104
Visalia,OCA,VISALIA,C,-119.2923514,36.33015997
Vista,OSD,VISTA,C,-117.2434571,33.20159719
Waldport,WLD,WALDPORT,O,-124.0726675,44.42210174
Walnut,OLA,WALNUT,C,-117.8596349,34.03800112
Walnut Creek,OSF,WALNUT CREEK,C,-122.0643088,37.90625202
Walnut Grove,OCA,WALNUT GROVE,C,-121.5125109,38.24366695
Washougal,OCR,WASHOUGAL,W,-122.3537996,45.5811235
Watsonville,OCM,WATSONVILLE,C,-121.771618,36.91653208
Weaverville,OCA,WEAVERVILLE,C,-122.9521603,40.77199787
Weed,OCA,WEED,C,-122.3874613,41.42274877
West Beach,ONP,WEST BEACH,W,-122.9553027,48.6853344
West Los Angeles,OLA,WEST LOS ANGELES,C,-118.4633088,34.04056816
West Sacramento,OCA,WEST SACRAMENTO,C,-121.5501448,38.55112793
Westlake Village,OBV,WESTLAKE VILLAGE,C,-118.8197577,34.13935417
Westminster,OLA,WESTMINSTER,C,-117.9895039,33.75921016
Westport,WPT,WESTPORT,W,-124.111557,46.88684061
Whitethorn,OCA,WHITEHORN,C,-123.9417035,40.02313642
Whittier,OLA,WHITTIER,C,-118.0373849,33.96577314
Willits,OMD,WILLITS,C,-123.3516244,39.404111
Willow Creek,OCM,WILLOW CREEK,C,-123.6613872,40.88700692
Willows,OCA,WILLOWS,C,-122.2006156,39.5140959
Wilmington,WLM,WILMINGTON,C,-118.2624298,33.77996518
Winchester Bay,WIN,WINCHESTER BAY,O,-124.1739317,43.67493179
Windsor,OSM,WINDSOR,C,-122.8049446,38.54563902
Winterhaven,OCA,WINTERHAVEN,C,-114.6332165,32.73807211
Woodbridge,OCA,WOODBRIDGE,C,-121.3170529,38.16239994
Woodland,OCA,WOODLAND,C,-121.7653908,38.67739793
Yachats,YAC,YACHATS,O,-124.1001605,44.31013975
Yolo,OCA,YOLO,C,-121.8056488,38.73366193
Yountville,OSF,YOUNTVILLE,C,-122.3601817,38.401152
Yreka,OCA,YREKA,C,-122.6356352,41.73157677
Yuba City,OCA,YUBA CITY,C,-121.6251337,39.13221489
Yucca Valley,OCA,YUCCA VALLEY,C,-116.4223091,34.12093303
Ilwaco/Chinook,LWC,ILWACO/CHINOOK,W,-123.9943492,46.29274213
Warrenton,WAR,WARRENTON,O,-123.9238,46.1651
