NAME,PCID,AgencyDesc,AGID,Longitude,Latitude
Cottonwood,OCA,COTTONWOOD,C,-122.2808705,40.39066384
Coupeville,ONP,COUPEVILLE,W,-122.6821539,48.21227039
Courtland,OCA,COURTLAND,C,-121.5687298,38.33283895
Covina,OLA,COVINA,C,-117.8813459,34.09078912
Crescent City,CRS,CRESCENT CITY,C,-124.198058,41.75812891
Crockett,OSF,CROCKETT,C,-122.2209028,38.05238102
Daly City,OSF,DALY CITY,C,-122.4722798,37.68447907
Dana Point,DNA,DANA POINT,C,-117.697938,33.47276018
Danville,OSF,DANVILLE,C,-121.9682628,37.81610602
Davenport,OCM,DAVENPORT,C,-122.1924599,37.0099571
Davis,OCA,DAVIS,C,-121.7347658,38.55277694
Deer Harbor,ONP,DEER HARBOR,W,-122.9951288,48.61275541
Del Mar,OSD,DEL MAR,C,-117.2651791,32.96428921
Delano,OCA,DELANO,C,-119.2438515,35.76132602
Denverton,OCA,DENVERTON,C,-121.8959278,38.22747798
Depoe Bay,DPO,DEPOE BAY,O,-124.0617235,44.80896372
Dillon Beach,OSM,DILLON BEACH,C,-122.9648276,38.25107806
Dixon,OCA,DIXON,C,-121.8239728,38.45283696
Dos Palos,OCA,DOS PALOS,C,-120.6355541,36.986066
Douglas City,OCA,DOUGLAS CITY,C,-122.9393183,40.65125188
Earp,OCA,EARP,C,-114.3015735,34.16433691
El Cajon,OSD,EL CAJON,C,-116.9623471,32.79495222
El Centro,OCA,EL CENTRO,C,-115.5524884,32.78678615
El Cerrito,OSF,EL CERRITO,C,-122.3023028,37.91982704
El Dorado Hills,OCA,EL DORADO HILLS,C,-121.0800289,38.68652788
El Segundo,OLA,EL SEGUNDO,C,-118.3960768,33.91644217
El Sobrante,OSF,EL SOBRANTE,C,-122.2952048,37.97811303
Elk,OMD,ELK,C,-123.7181101,39.13230512
Elk Grove,OCA,ELK GROVE,C,-121.3714449,38.40319093
Emeryville,OSF,EMERYVILLE,C,-122.2946498,37.83840604
Encinitas,OSD,ENCINITAS,C,-117.2609181,33.0517612
Escondido,OSD,ESCONDIDO,C,-117.0814321,33.12162719
Eureka,ERK,EUREKA,C,-124.1612951,40.78613797
Everett,EVR,EVERETT,W,-122.189529,47.98179135
Fair Oaks,OCA,FAIR OAKS,C,-121.2512919,38.6469449
Fairfield,OSF,FAIRFIELD,C,-122.0340368,38.27348899
Fall River Mills,OCA,FALL RIVER MILLS,C,-121.4386685,41.00402372
Fallbrook,OSD,FALLBROOK,C,-117.238162,33.37654017
Felton,OCM,FELTON,C,-122.0505429,37.05516309
Ferndale,OHB,FERNDALE,C,-124.2599552,40.58111499
Fieldbrook,OCA,FIELDBROOK,C,-124.0359311,40.96560695
Fields Landing,FLN,FIELDS LANDING,C,-124.2149861,40.72443942
Florence,FLR,FLORENCE,O,-124.1013566,43.99093777
Forest Knolls,OSM,FORREST KNOLLS,C,-122.6878417,38.01529906
Fort Dick,ODN,FORT DICK,C,-124.149243,41.8679769
Fort Ord,OCM,FORT ORD,C,-121.7695654,36.62149684
Fortuna,OHB,FORTUNA,C,-124.1467542,40.58473098
Foster City,OSF,FOSTER CITY,C,-122.2651098,37.55510606
Fountain Valley,OLA,FOUNTAIN VALLEY,C,-117.9456339,33.70439717
Frankfort,OCR,FRANKFORT,W,-123.7591852,46.27690261
Freedom,OCM,FREEDOM,C,-121.802739,36.94022408
Freeport,OCA,FREEPORT,C,-121.5016535,38.46193938
Fremont,OSF,FREMONT,C,-121.9884729,37.54860804
Fresno,OCA,FRESNO,C,-119.7893693,36.74330796
Friday Harbor,FRI,FRIDAY HARBOR,W,-123.0230678,48.53626341
Fullerton,OLA,FULLERTON,C,-117.9242899,33.87038915
Galt,OCA,GALT,C,-121.3006609,38.25479593
Garberville,OHB,GARBERVILLE,C,-123.7949933,40.09929199
Gardena,OLA,GARDENA,C,-118.3091218,33.89466217
Garibaldi,TLL,GARIBALDI (TILLAMOOK),O,-123.9049833,45.56180866
Gaviota,OBV,GAVIOTA,C,-120.2143965,34.47323921
Gilroy,OCM,GILROY,C,-121.581634,37.01344506
Glencove,OSF,GLEN COVE,C,-122.2031408,38.06607202
Glendale,OLA,GLENDALE,C,-118.2320108,34.16497913
Glenn,OCA,GLENN,C,-122.0139746,39.52176588
Gold Beach,GLD,GOLD BEACH,O,-124.4205848,42.41243389
Goleta,OBV,GOLETA,C,-119.8306095,34.43561819
Granada Hills,OLA,GRANADA HILLS,C,-118.5233877,34.26490314
Grayland,OWC,GRAYLAND,W,-124.093816,46.80995762
Greenbrae,OSM,GREENBRAE,C,-122.5212864,37.94609462
Gridley,OCA,GRIDLEY,C,-121.6975387,39.36333087
Grover Beach,OSL,GROVER CITY,C,-120.6202323,35.12148717
Guadalupe,OBV,GUADALUPE,C,-120.5738854,34.96388519
Guerneville,OSM,GUERNEVILLE,C,-122.9858966,38.50991004
Gustine,OCA,GUSTINE,C,-121.0034641,37.253005
Half Moon Bay,PRN,PRINCETON/HALF MOON BAY,C,-122.4338088,37.46998208
